"cell_type","gene_identifier","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","TFF3","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","MMRN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","GYPC","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","PDPN","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","FABP5","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","STMN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","SNCG","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","NRP2","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC mature","PPP1R2","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","STMN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","CCL21","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","HMGB2","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","TFF3","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","TYMS","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","PDPN","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","PRC1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","H2AFV","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","SMC4","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC proliferating","CENPF","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","NRP2","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","CCL21","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","SLC38A2","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","MMRN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","PROX1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","MRC1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","UTRN","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","PKHD1L1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","NR2F2","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","MAF","","","","","","","","","","","","","","","","","","","","","","","",""
