Run,cell_type
SRR10777930,other
SRR10782019,other
SRR10787654,Endothelial cell
SRR10786458,T/NK cell
SRR10782660,T/NK cell
SRR10787785,Epithelial cells
SRR10784986,Epithelial cells
SRR10785072,Epithelial cells
SRR10782843,T/NK cell
SRR10778699,Epithelial cells
SRR10793653,B cell plasma
SRR10795611,B cell plasma
SRR10788149,Myeloid cell
SRR10784504,T/NK cell
SRR10791182,T/NK cell
SRR10793866,Epithelial cells
SRR10777502,Stromal
SRR10780409,Epithelial cells
SRR10793452,T/NK cell
SRR10791359,Epithelial cells
SRR10781847,T/NK cell
SRR10777567,Myeloid cell
SRR10779169,Myeloid cell
SRR10783419,Myeloid cell
SRR10786965,T/NK cell
SRR10779366,T/NK cell
SRR10782435,Epithelial cells
SRR10794804,T/NK cell
SRR10791649,other
SRR10780774,Myeloid cell
SRR10792935,T/NK cell
SRR10789986,B cell plasma
SRR10789174,B cell plasma
SRR10790944,Myeloid cell
SRR10779238,Myeloid cell
SRR10789429,Myeloid cell
SRR10780199,T/NK cell
SRR10791808,Stromal
SRR10789992,T/NK cell
SRR10789709,other
SRR10784164,Myeloid cell
SRR10791070,Stromal
SRR10783292,Endothelial cell
SRR10779458,T/NK cell
SRR10795455,Myeloid cell
SRR10785301,B cell
SRR10784370,T/NK cell
SRR10788686,Stromal
SRR10790637,Myeloid cell
SRR10785849,Mast cell
SRR10779599,Mast cell
SRR10793035,Endothelial cell
SRR10798358,T/NK cell
SRR10779940,B cell
SRR10791212,Stromal
SRR10793110,Myeloid cell
SRR10788962,Myeloid cell
SRR10792749,Stromal
SRR10794754,Myeloid cell
SRR10789599,Stromal
SRR10792263,Myeloid cell
SRR10781789,T/NK cell
SRR10784321,Epithelial cells
SRR10785213,T/NK cell
SRR10792879,Epithelial cells
SRR10795773,T/NK cell
SRR10784602,Epithelial cells
SRR10781501,Myeloid cell
SRR10793665,Stromal
SRR10790712,Stromal
SRR10778092,Stromal
SRR10782115,Myeloid cell
SRR10790142,other
SRR10798588,Stromal
SRR10778707,T/NK cell
SRR10791261,other
SRR10780581,Myeloid cell
SRR10785053,other
SRR10791819,Myeloid cell
SRR10789553,Myeloid cell
SRR10790604,Myeloid cell
SRR10780188,T/NK cell
SRR10781457,T/NK cell
SRR10783920,Epithelial cells
SRR10797429,Myeloid cell
SRR10796032,Myeloid cell
SRR10778182,T/NK cell
SRR10785819,Myeloid cell
SRR10786029,Myeloid cell
SRR10792585,Stromal
SRR10790223,Ciliated
SRR10797445,Myeloid cell
SRR10786197,Myeloid cell
SRR10780437,Stromal
SRR10781333,T/NK cell
SRR10781186,B cell
SRR10780978,T/NK cell
SRR10788024,Epithelial cells
SRR10789801,T/NK cell
SRR10785203,Myeloid cell
SRR10795809,B cell plasma
SRR10779892,Epithelial cells
SRR10797531,Myeloid cell
SRR10781989,Myeloid cell
SRR10783512,T/NK cell
SRR10779276,other
SRR10781223,Stromal
SRR10784541,Myeloid cell
SRR10791079,Stromal
SRR10780016,Myeloid cell
SRR10781201,T/NK cell
SRR10787844,Myeloid cell
SRR10782390,Epithelial cells
SRR10783212,Myeloid cell
SRR10789776,T/NK cell
SRR10798541,Epithelial cells
SRR10798147,Myeloid cell
SRR10794446,T/NK cell
SRR10791310,T/NK cell
SRR10796981,Myeloid cell
SRR10785605,Myeloid cell
SRR10777910,plasmacytoid dendritic cell
SRR10777889,Epithelial cells
SRR10785005,Myeloid cell
SRR10786285,Epithelial cells
SRR10794174,Stromal
SRR10790461,Epithelial cells
SRR10795992,Myeloid cell
SRR10778783,T/NK cell
SRR10798371,Epithelial cells
SRR10789325,T/NK cell
SRR10786739,other
SRR10790994,other
SRR10780825,other
SRR10792558,Myeloid cell
SRR10797016,Myeloid cell
SRR10779737,Myeloid cell
SRR10792639,T/NK cell
SRR10795370,other
SRR10786786,T/NK cell
SRR10781581,T/NK cell
SRR10789627,Stromal
SRR10791457,T/NK cell
SRR10791863,Myeloid cell
SRR10794565,T/NK cell
SRR10779747,other
SRR10785447,Myeloid cell
SRR10791380,Myeloid cell
SRR10798438,Myeloid cell
